CompanyName,Industry,ESG_Environmental,ESG_Social,ESG_Governance,Year,Region,ESG_Rating
Company_6,Transportation,56.1,76.9,72.2,2016,6,AA
Company_6,Transportation,60.3,75.8,70.0,2017,6,AA
Company_6,Transportation,60.0,73.1,67.5,2018,6,AA
Company_6,Transportation,62.3,73.8,70.1,2019,6,AA
Company_6,Transportation,64.0,74.3,73.3,2020,6,AA
Company_6,Transportation,64.2,75.3,72.9,2021,6,AA
Company_6,Transportation,68.4,77.0,72.1,2022,6,AA
Company_6,Transportation,68.1,75.7,71.2,2023,6,AA
Company_6,Transportation,62.2,75.7,70.7,2024,6,AA
Company_6,Transportation,68.2,77.4,73.6,2025,6,AA
Company_7,Healthcare,74.6,37.1,47.5,2015,6,A
Company_7,Healthcare,72.7,38.3,46.1,2016,6,A
Company_7,Healthcare,77.8,38.1,45.7,2017,6,A
Company_7,Healthcare,77.7,38.4,44.2,2018,6,A
Company_7,Healthcare,78.5,39.0,45.7,2019,6,A
Company_7,Healthcare,78.3,38.5,45.0,2020,6,A
Company_7,Healthcare,78.0,34.6,47.2,2021,6,A
Company_7,Healthcare,80.9,34.8,45.8,2022,6,A
Company_7,Healthcare,81.6,35.2,44.2,2023,6,A
Company_7,Healthcare,81.9,39.1,46.5,2024,6,A
Company_7,Healthcare,87.6,41.6,46.1,2025,6,A
Company_8,Healthcare,69.4,87.8,66.1,2015,2,AA
Company_8,Healthcare,69.3,89.8,67.6,2016,2,AAA
Company_8,Healthcare,71.8,92.2,66.6,2017,2,AAA
Company_8,Healthcare,69.5,92.8,67.6,2018,2,AAA
Company_8,Healthcare,67.2,98.8,64.9,2019,2,AAA
Company_8,Healthcare,70.2,98.2,67.0,2020,2,AAA
Company_8,Healthcare,74.1,95.1,65.5,2021,2,AAA
Company_8,Healthcare,75.2,95.3,68.3,2022,2,AAA
Company_8,Healthcare,75.4,95.2,68.2,2023,2,AAA
Company_8,Healthcare,78.2,95.0,71.1,2024,2,AAA
Company_8,Healthcare,77.1,97.6,69.9,2025,2,AAA
Company_9,Technology,37.8,77.7,63.7,2015,5,A
Company_9,Technology,38.0,78.7,59.7,2016,5,A
Company_9,Technology,37.2,77.2,66.2,2017,5,AA
Company_9,Technology,40.8,81.7,68.1,2018,5,AA
Company_9,Technology,40.5,83.8,65.6,2019,5,AA
Company_9,Technology,39.7,84.7,64.9,2020,5,AA
Company_9,Technology,39.7,84.3,67.3,2021,5,AA
Company_9,Technology,43.5,83.4,69.0,2022,5,AA
Company_9,Technology,45.0,80.8,64.0,2023,5,AA
Company_9,Technology,45.6,81.9,62.1,2024,5,AA
Company_9,Technology,48.4,82.6,59.6,2025,5,AA
Company_10,Technology,81.7,62.5,42.5,2015,3,AA
Company_10,Technology,79.6,68.6,46.2,2016,3,AA
Company_10,Technology,79.2,67.5,48.5,2017,3,AA
Company_10,Technology,79.7,70.0,45.8,2018,3,AA
Company_10,Technology,77.8,72.1,42.5,2019,3,AA
Company_10,Technology,81.3,73.5,42.4,2020,3,AA
Company_10,Technology,81.8,75.4,43.9,2021,3,AA
Company_10,Technology,79.8,78.1,43.5,2022,3,AA
Company_10,Technology,79.5,77.9,44.9,2023,3,AA
Company_10,Technology,77.8,78.2,50.0,2024,3,AA
Company_10,Technology,80.9,79.9,48.1,2025,3,AA
Company_11,Energy,44.6,75.4,58.5,2015,2,A
Company_11,Energy,45.7,75.2,59.4,2016,2,AA
Company_11,Energy,44.8,73.0,58.0,2017,2,A
Company_11,Energy,51.1,73.7,58.8,2018,2,AA
Company_11,Energy,57.2,74.0,61.6,2019,2,AA
Company_11,Energy,61.8,71.4,61.3,2020,2,AA
Company_11,Energy,64.0,68.7,60.4,2021,2,AA
Company_11,Energy,66.3,71.4,61.1,2022,2,AA
Company_11,Energy,68.9,72.8,61.5,2023,2,AA
Company_11,Energy,70.3,74.9,62.2,2024,2,AA
Company_11,Energy,71.3,76.8,62.8,2025,2,AA
Company_12,Finance,90.4,43.2,24.7,2015,1,A
Company_12,Finance,91.5,42.7,28.0,2016,1,A
Company_12,Finance,89.1,39.7,26.8,2017,1,A
Company_12,Finance,88.5,38.2,25.7,2018,1,A
Company_12,Finance,87.4,40.0,25.9,2019,1,A
Company_12,Finance,87.0,40.9,27.4,2020,1,A
Company_12,Finance,87.0,40.2,29.0,2021,1,A
Company_12,Finance,87.7,43.5,28.4,2022,1,A
Company_12,Finance,87.3,42.6,33.6,2023,1,A
Company_12,Finance,88.6,41.9,33.3,2024,1,A
Company_12,Finance,87.9,42.6,30.3,2025,1,A
Company_13,Consumer Goods,80.2,23.0,30.7,2015,1,BBB
Company_13,Consumer Goods,82.8,24.5,33.3,2016,1,BBB
Company_13,Consumer Goods,85.1,24.3,32.1,2017,1,BBB
Company_13,Consumer Goods,86.2,27.3,33.0,2018,1,BBB
Company_13,Consumer Goods,88.7,30.8,34.0,2019,1,A
Company_13,Consumer Goods,89.5,31.9,35.7,2020,1,A
Company_13,Consumer Goods,90.9,31.6,36.5,2021,1,A
Company_13,Consumer Goods,90.7,32.9,40.2,2022,1,A
Company_13,Consumer Goods,95.5,30.9,40.3,2023,1,A
Company_13,Consumer Goods,97.0,30.3,38.2,2024,1,A
Company_13,Consumer Goods,97.8,28.3,42.1,2025,1,A
Company_14,Transportation,20.8,60.0,34.8,2015,4,BB
Company_14,Transportation,22.4,60.9,36.7,2016,4,BBB
Company_14,Transportation,24.2,59.9,34.5,2017,4,BB
Company_14,Transportation,25.1,62.1,33.7,2018,4,BBB
Company_14,Transportation,25.8,61.2,39.2,2019,4,BBB
Company_14,Transportation,24.6,59.8,39.6,2020,4,BBB
Company_14,Transportation,26.6,63.8,38.3,2021,4,BBB
Company_14,Transportation,27.5,62.3,38.3,2022,4,BBB
Company_14,Transportation,27.5,61.9,39.3,2023,4,BBB
Company_14,Transportation,29.2,64.2,41.1,2024,4,BBB
Company_14,Transportation,30.4,66.6,41.2,2025,4,BBB
Company_15,Healthcare,75.8,50.4,26.7,2015,6,A
Company_15,Healthcare,76.3,47.5,28.0,2016,6,A
Company_15,Healthcare,80.4,44.9,32.5,2017,6,A
Company_15,Healthcare,81.1,47.2,34.3,2018,6,A
Company_15,Healthcare,84.8,48.5,33.4,2019,6,A
Company_15,Healthcare,86.9,48.2,35.5,2020,6,A
Company_15,Healthcare,84.4,49.5,35.8,2021,6,A
Company_15,Healthcare,84.5,50.7,36.2,2022,6,A
Company_15,Healthcare,82.9,50.7,39.2,2023,6,A
Company_15,Healthcare,83.2,50.5,39.0,2024,6,A
Company_15,Healthcare,85.1,50.4,40.3,2025,6,A
Company_16,Energy,46.8,38.7,56.1,2015,2,BBB
Company_16,Energy,46.9,38.3,55.5,2016,2,BBB
Company_16,Energy,48.3,39.1,55.1,2017,2,BBB
Company_16,Energy,49.6,41.3,59.3,2018,2,A
Company_16,Energy,52.2,41.0,59.3,2019,2,A
Company_16,Energy,51.6,41.3,61.3,2020,2,A
Company_16,Energy,54.6,39.1,64.0,2021,2,A
Company_16,Energy,59.6,44.0,66.7,2022,2,A
Company_16,Energy,58.3,45.2,69.8,2023,2,A
Company_16,Energy,59.3,45.8,67.9,2024,2,A
Company_16,Energy,63.6,47.0,68.8,2025,2,A
Company_17,Utilities,55.9,87.3,45.4,2015,6,AA
Company_17,Utilities,57.5,87.7,46.1,2016,6,AA
Company_17,Utilities,59.5,87.0,47.7,2017,6,AA
Company_17,Utilities,59.6,89.8,46.2,2018,6,AA
Company_17,Utilities,61.4,88.2,47.6,2019,6,AA
Company_17,Utilities,59.2,89.5,50.3,2020,6,AA
Company_17,Utilities,62.0,88.8,51.6,2021,6,AA
Company_17,Utilities,62.8,91.5,49.5,2022,6,AA
Company_17,Utilities,62.3,89.4,51.5,2023,6,AA
Company_17,Utilities,64.7,86.8,50.8,2024,6,AA
Company_17,Utilities,64.8,89.3,50.2,2025,6,AA
Company_18,Energy,62.6,81.4,61.8,2015,2,AA
Company_18,Energy,65.1,78.9,59.6,2016,2,AA
Company_18,Energy,64.4,79.8,60.4,2017,2,AA
Company_18,Energy,66.5,82.8,60.3,2018,2,AA
Company_18,Energy,66.0,84.8,59.5,2019,2,AA
Company_18,Energy,65.6,85.6,64.9,2020,2,AA
Company_18,Energy,63.5,83.8,65.5,2021,2,AA
Company_18,Energy,66.1,85.0,68.8,2022,2,AA
Company_18,Energy,68.9,80.9,72.3,2023,2,AA
Company_18,Energy,70.4,82.6,71.7,2024,2,AA
Company_18,Energy,72.9,83.3,70.8,2025,2,AAA
Company_19,Technology,91.8,43.0,11.2,2015,3,BBB
Company_19,Technology,91.9,43.6,11.3,2016,3,BBB
Company_19,Technology,91.8,42.9,15.1,2017,3,BBB
Company_19,Technology,94.5,41.9,17.3,2018,3,A
Company_19,Technology,93.0,43.7,16.3,2019,3,A
Company_19,Technology,91.9,46.0,18.2,2020,3,A
Company_19,Technology,89.0,51.9,17.8,2021,3,A
Company_19,Technology,87.9,55.8,19.9,2022,3,A
Company_19,Technology,89.8,58.5,20.2,2023,3,A
Company_19,Technology,88.1,57.6,19.8,2024,3,A
Company_19,Technology,91.2,58.8,21.3,2025,3,A
Company_20,Technology,96.8,57.4,24.5,2015,5,A
Company_20,Technology,98.4,60.1,26.1,2016,5,AA
Company_20,Technology,97.2,57.1,29.2,2017,5,AA
Company_20,Technology,96.8,59.5,29.7,2018,5,AA
Company_20,Technology,96.0,58.2,32.1,2019,5,AA
Company_20,Technology,96.3,58.6,30.6,2020,5,AA
Company_20,Technology,97.8,57.3,30.6,2021,5,AA
Company_20,Technology,100.0,58.4,30.8,2022,5,AA
Company_20,Technology,100.0,58.2,31.9,2023,5,AA
Company_20,Technology,100.0,59.5,35.6,2024,5,AA
Company_20,Technology,100.0,60.6,36.8,2025,5,AA
Company_21,Energy,21.9,38.6,31.4,2015,1,BB
Company_21,Energy,23.4,38.7,29.3,2016,1,BB
Company_21,Energy,25.5,37.2,32.7,2017,1,BB
Company_21,Energy,27.2,38.3,34.8,2018,1,BB
Company_21,Energy,29.1,36.7,35.3,2019,1,BB
Company_21,Energy,29.2,36.5,35.0,2020,1,BB
Company_21,Energy,26.9,40.6,35.7,2021,1,BB
Company_21,Energy,27.8,39.7,39.4,2022,1,BB
Company_21,Energy,29.6,41.3,38.9,2023,1,BB
Company_21,Energy,28.9,43.4,38.2,2024,1,BB
Company_21,Energy,31.3,42.1,37.7,2025,1,BB
Company_22,Manufacturing,67.8,37.4,49.2,2015,3,A
Company_22,Manufacturing,71.7,37.4,47.7,2016,3,A
Company_22,Manufacturing,74.5,36.5,48.0,2017,3,A
Company_22,Manufacturing,75.0,37.4,48.2,2018,3,A
Company_22,Manufacturing,73.4,35.7,48.3,2019,3,A
Company_22,Manufacturing,72.6,38.5,48.1,2020,3,A
Company_22,Manufacturing,71.9,40.2,46.1,2021,3,A
Company_22,Manufacturing,76.2,41.7,50.4,2022,3,A
Company_22,Manufacturing,81.5,44.0,52.0,2023,3,A
Company_22,Manufacturing,82.1,44.1,52.2,2024,3,A
Company_22,Manufacturing,85.0,43.3,52.1,2025,3,AA
Company_23,Healthcare,50.8,42.1,59.2,2015,1,A
Company_23,Healthcare,53.8,43.6,62.3,2016,1,A
Company_23,Healthcare,55.2,47.9,64.9,2017,1,A
Company_23,Healthcare,53.8,48.6,67.4,2018,1,A
Company_23,Healthcare,54.0,48.4,67.1,2019,1,A
Company_23,Healthcare,53.5,49.3,68.0,2020,1,A
Company_23,Healthcare,54.5,47.7,69.3,2021,1,A
Company_23,Healthcare,55.6,47.7,73.4,2022,1,A
Company_23,Healthcare,57.8,48.5,76.6,2023,1,AA
Company_23,Healthcare,58.4,51.6,76.9,2024,1,AA
Company_23,Healthcare,61.4,53.8,78.5,2025,1,AA
Company_24,Technology,84.2,21.6,43.7,2015,4,BBB
Company_24,Technology,84.8,20.9,43.5,2016,4,BBB
Company_24,Technology,85.4,24.3,43.0,2017,4,A
Company_24,Technology,88.1,25.5,40.4,2018,4,A
Company_24,Technology,86.5,28.6,40.1,2019,4,A
Company_24,Technology,88.2,27.7,42.3,2020,4,A
Company_24,Technology,89.5,29.4,47.3,2021,4,A
Company_24,Technology,87.1,30.9,49.3,2022,4,A
Company_24,Technology,88.4,30.7,51.4,2023,4,A
Company_24,Technology,88.3,27.8,53.6,2024,4,A
Company_24,Technology,91.0,28.2,51.0,2025,4,A
Company_25,Utilities,19.4,65.6,25.8,2015,4,BB
Company_25,Utilities,20.3,67.9,25.8,2016,4,BB
Company_25,Utilities,16.3,65.3,30.9,2017,4,BB
Company_25,Utilities,14.4,67.8,36.2,2018,4,BB
Company_25,Utilities,10.7,65.4,35.7,2019,4,BB
Company_25,Utilities,13.4,68.0,36.3,2020,4,BB
Company_25,Utilities,14.2,67.3,39.8,2021,4,BBB
Company_25,Utilities,16.8,65.4,42.4,2022,4,BBB
Company_25,Utilities,19.4,66.9,44.5,2023,4,BBB
Company_25,Utilities,22.6,69.7,49.4,2024,4,BBB
Company_25,Utilities,22.5,73.2,52.6,2025,4,BBB
Company_26,Healthcare,87.7,42.5,29.6,2015,1,A
Company_26,Healthcare,90.0,45.1,29.4,2016,1,A
Company_26,Healthcare,91.5,47.7,28.8,2017,1,A
Company_26,Healthcare,89.8,48.0,28.6,2018,1,A
Company_26,Healthcare,89.9,48.8,29.6,2019,1,A
Company_26,Healthcare,89.9,51.7,30.3,2020,1,A
Company_26,Healthcare,88.7,52.4,30.6,2021,1,A
Company_26,Healthcare,91.2,51.3,30.2,2022,1,A
Company_26,Healthcare,89.4,48.9,25.4,2023,1,A
Company_26,Healthcare,90.7,47.2,26.6,2024,1,A
Company_26,Healthcare,93.0,46.7,29.2,2025,1,A
Company_27,Healthcare,91.0,47.7,39.0,2015,2,A
Company_27,Healthcare,97.3,45.2,40.0,2016,2,AA
Company_27,Healthcare,98.5,45.0,41.1,2017,2,AA
Company_27,Healthcare,100.0,45.4,43.9,2018,2,AA
Company_27,Healthcare,100.0,47.2,42.9,2019,2,AA
Company_27,Healthcare,100.0,48.1,43.3,2020,2,AA
Company_27,Healthcare,100.0,51.0,43.4,2021,2,AA
Company_27,Healthcare,100.0,51.9,43.8,2022,2,AA
Company_27,Healthcare,100.0,51.5,42.9,2023,2,AA
Company_27,Healthcare,100.0,53.1,44.8,2024,2,AA
Company_27,Healthcare,100.0,55.0,47.7,2025,2,AA
Company_28,Technology,98.8,48.3,76.7,2015,3,AA
Company_28,Technology,100.0,51.3,78.0,2016,3,AAA
Company_28,Technology,99.5,54.1,79.1,2017,3,AAA
Company_28,Technology,99.7,51.8,78.2,2018,3,AAA
Company_28,Technology,100.0,52.8,81.3,2019,3,AAA
Company_28,Technology,99.5,51.2,82.8,2020,3,AAA
Company_28,Technology,100.0,49.8,85.2,2021,3,AAA
Company_28,Technology,100.0,52.1,87.5,2022,3,AAA
Company_28,Technology,100.0,53.0,85.9,2023,3,AAA
Company_28,Technology,100.0,54.8,87.6,2024,3,AAA
Company_28,Technology,100.0,56.8,88.3,2025,3,AAA
Company_29,Transportation,6.2,58.4,10.6,2015,6,CCC
Company_29,Transportation,6.5,60.1,8.8,2016,6,CCC
Company_29,Transportation,9.5,63.8,7.8,2017,6,CCC
Company_29,Transportation,12.1,62.0,11.6,2018,6,CCC
Company_29,Transportation,11.3,59.6,8.6,2019,6,CCC
Company_29,Transportation,10.1,59.7,7.1,2020,6,CCC
Company_29,Transportation,10.9,60.2,8.7,2021,6,CCC
Company_29,Transportation,12.3,62.1,10.7,2022,6,CCC
Company_29,Transportation,12.9,63.0,13.1,2023,6,CCC
Company_29,Transportation,14.4,63.9,13.7,2024,6,BB
Company_29,Transportation,10.8,62.5,13.4,2025,6,CCC
Company_30,Transportation,4.2,64.5,9.3,2015,4,CCC
Company_30,Transportation,8.3,62.9,8.2,2016,4,CCC
Company_30,Transportation,10.3,64.1,9.9,2017,4,CCC
Company_30,Transportation,8.1,65.0,14.5,2018,4,CCC
Company_30,Transportation,8.3,69.8,11.2,2019,4,CCC
Company_30,Transportation,6.5,69.8,10.8,2020,4,CCC
Company_30,Transportation,8.4,68.9,11.6,2021,4,CCC
Company_30,Transportation,10.3,69.4,10.9,2022,4,BB
Company_30,Transportation,10.9,72.7,13.7,2023,4,BB
Company_30,Transportation,11.3,73.2,11.7,2024,4,BB
Company_30,Transportation,11.4,73.4,10.5,2025,4,BB
Company_31,Transportation,28.3,10.6,32.8,2015,4,CCC
Company_31,Transportation,26.3,11.1,33.7,2016,4,CCC
Company_31,Transportation,31.3,14.9,34.4,2017,4,CCC
Company_31,Transportation,35.1,14.6,34.2,2018,4,CCC
Company_31,Transportation,33.4,16.8,33.8,2019,4,CCC
Company_31,Transportation,33.5,19.3,36.4,2020,4,CCC
Company_31,Transportation,35.3,16.2,37.6,2021,4,CCC
Company_31,Transportation,37.7,11.6,36.6,2022,4,CCC
Company_31,Transportation,37.2,13.4,34.8,2023,4,CCC
Company_31,Transportation,36.1,11.5,37.0,2024,4,CCC
Company_31,Transportation,34.8,10.9,40.4,2025,4,CCC
Company_32,Utilities,8.7,70.3,77.2,2015,5,A
Company_32,Utilities,8.9,70.3,78.2,2016,5,A
Company_32,Utilities,9.2,69.9,76.8,2017,5,A
Company_32,Utilities,9.3,73.6,73.0,2018,5,A
Company_32,Utilities,11.9,73.7,74.0,2019,5,A
Company_32,Utilities,13.6,74.3,80.4,2020,5,A
Company_32,Utilities,11.1,73.5,78.8,2021,5,A
Company_32,Utilities,12.5,71.0,81.3,2022,5,A
Company_32,Utilities,14.4,71.1,79.1,2023,5,A
Company_32,Utilities,14.5,69.2,78.8,2024,5,A
Company_32,Utilities,16.1,71.6,77.8,2025,5,A
Company_33,Finance,73.9,53.3,56.4,2015,5,AA
Company_33,Finance,73.4,56.9,55.7,2016,5,AA
Company_33,Finance,71.4,56.1,56.0,2017,5,AA
Company_33,Finance,70.4,56.7,57.3,2018,5,AA
Company_33,Finance,74.7,59.9,55.2,2019,5,AA
Company_33,Finance,73.4,57.3,57.6,2020,5,AA
Company_33,Finance,75.5,58.4,58.9,2021,5,AA
Company_33,Finance,78.9,59.0,58.9,2022,5,AA
Company_33,Finance,82.1,58.9,60.5,2023,5,AA
Company_33,Finance,82.8,60.0,61.4,2024,5,AA
Company_33,Finance,87.3,63.3,59.3,2025,5,AA
Company_34,Energy,47.7,10.6,18.1,2015,4,CCC
Company_34,Energy,51.5,12.5,18.9,2016,4,CCC
Company_34,Energy,51.3,15.1,24.1,2017,4,BB
Company_34,Energy,54.5,16.9,28.9,2018,4,BB
Company_34,Energy,53.4,21.4,27.9,2019,4,BB
Company_34,Energy,53.1,21.9,29.9,2020,4,BB
Company_34,Energy,53.3,19.9,32.1,2021,4,BB
Company_34,Energy,55.4,18.3,32.8,2022,4,BB
Company_34,Energy,57.1,16.6,31.7,2023,4,BB
Company_34,Energy,60.2,16.2,30.9,2024,4,BB
Company_34,Energy,58.4,16.3,29.6,2025,4,BB
Company_35,Healthcare,65.4,83.1,51.1,2015,4,AA
Company_35,Healthcare,66.5,83.1,52.4,2016,4,AA
Company_35,Healthcare,72.3,84.4,50.2,2017,4,AA
Company_35,Healthcare,77.5,87.6,46.0,2018,4,AA
Company_35,Healthcare,73.2,88.1,47.2,2019,4,AA
Company_35,Healthcare,74.4,88.0,46.1,2020,4,AA
Company_35,Healthcare,77.1,88.0,46.7,2021,4,AA
Company_35,Healthcare,78.0,88.4,45.6,2022,4,AA
Company_35,Healthcare,79.6,92.4,46.9,2023,4,AA
Company_35,Healthcare,83.0,92.4,50.2,2024,4,AAA
Company_35,Healthcare,82.4,92.8,53.2,2025,4,AAA
Company_36,Healthcare,29.7,97.6,87.8,2015,2,AA
Company_36,Healthcare,32.0,95.8,87.9,2016,2,AA
Company_36,Healthcare,34.4,99.1,89.2,2017,2,AA
Company_36,Healthcare,36.2,97.9,92.5,2018,2,AAA
Company_36,Healthcare,36.2,99.1,93.4,2019,2,AAA
Company_36,Healthcare,37.6,100.0,91.9,2020,2,AAA
Company_36,Healthcare,38.2,99.2,90.4,2021,2,AAA
Company_36,Healthcare,39.2,100.0,89.0,2022,2,AAA
Company_36,Healthcare,42.3,100.0,87.3,2023,2,AAA
Company_36,Healthcare,40.9,98.7,89.0,2024,2,AAA
Company_36,Healthcare,39.2,100.0,90.6,2025,2,AAA
Company_37,Energy,45.0,72.4,86.9,2015,6,AA
Company_37,Energy,47.2,74.1,89.5,2016,6,AA
Company_37,Energy,46.1,72.2,89.4,2017,6,AA
Company_37,Energy,49.3,72.3,89.9,2018,6,AA
Company_37,Energy,48.9,72.5,93.1,2019,6,AA
Company_37,Energy,50.8,75.1,94.0,2020,6,AA
Company_37,Energy,50.7,80.0,93.9,2021,6,AA
Company_37,Energy,54.0,81.9,94.4,2022,6,AAA
Company_37,Energy,54.0,82.7,95.3,2023,6,AAA
Company_37,Energy,53.5,82.4,98.3,2024,6,AAA
Company_37,Energy,54.8,82.1,94.9,2025,6,AAA
Company_38,Energy,26.9,50.6,29.1,2015,0,BB
Company_38,Energy,30.3,50.0,28.4,2016,0,BB
Company_38,Energy,34.5,49.8,27.2,2017,0,BB
Company_38,Energy,34.9,51.6,30.5,2018,0,BB
Company_38,Energy,35.3,51.9,29.5,2019,0,BB
Company_38,Energy,35.5,51.5,27.5,2020,0,BB
Company_38,Energy,33.9,52.4,28.6,2021,0,BB
Company_38,Energy,36.6,55.9,28.9,2022,0,BBB
Company_38,Energy,39.6,56.0,31.5,2023,0,BBB
Company_38,Energy,38.9,53.8,30.9,2024,0,BBB
Company_38,Energy,39.9,54.6,29.3,2025,0,BBB
Company_39,Transportation,21.2,57.9,45.6,2015,3,BBB
Company_39,Transportation,20.4,60.4,46.5,2016,3,BBB
Company_39,Transportation,20.9,63.6,50.8,2017,3,BBB
Company_39,Transportation,21.3,65.6,52.3,2018,3,BBB
Company_39,Transportation,26.9,67.4,55.6,2019,3,BBB
Company_39,Transportation,26.3,66.2,53.3,2020,3,BBB
Company_39,Transportation,25.8,67.0,54.9,2021,3,BBB
Company_39,Transportation,26.9,70.7,56.2,2022,3,A
Company_39,Transportation,26.2,73.5,58.2,2023,3,A
Company_39,Transportation,26.4,78.0,57.8,2024,3,A
Company_39,Transportation,29.0,79.8,59.8,2025,3,A
Company_40,Transportation,26.0,73.6,60.6,2015,6,A
Company_40,Transportation,26.8,70.7,59.8,2016,6,A
Company_40,Transportation,30.2,74.6,58.1,2017,6,A
Company_40,Transportation,28.2,70.7,58.7,2018,6,A
Company_40,Transportation,30.1,75.1,57.6,2019,6,A
Company_40,Transportation,32.9,77.3,57.2,2020,6,A
Company_40,Transportation,31.1,77.4,56.7,2021,6,A
Company_40,Transportation,34.0,79.6,57.0,2022,6,A
Company_40,Transportation,33.7,79.4,59.7,2023,6,A
Company_40,Transportation,32.8,82.4,58.8,2024,6,A
Company_40,Transportation,37.1,82.1,59.6,2025,6,A
Company_41,Energy,30.7,44.2,83.2,2015,5,A
Company_41,Energy,34.5,40.6,85.3,2016,5,A
Company_41,Energy,35.0,41.7,85.4,2017,5,A
Company_41,Energy,35.2,43.2,86.5,2018,5,A
Company_41,Energy,39.4,46.4,86.2,2019,5,A
Company_41,Energy,40.5,46.0,84.6,2020,5,A
Company_41,Energy,42.1,45.5,85.9,2021,5,A
Company_41,Energy,42.2,48.1,86.7,2022,5,A
Company_41,Energy,42.7,50.1,88.6,2023,5,AA
Company_41,Energy,42.6,51.1,92.8,2024,5,AA
Company_41,Energy,44.4,53.9,96.3,2025,5,AA
Company_42,Energy,30.1,27.2,79.9,2015,5,BBB
Company_42,Energy,30.2,26.7,84.1,2016,5,BBB
Company_42,Energy,29.9,25.4,82.4,2017,5,BBB
Company_42,Energy,29.9,25.4,82.4,2018,5,BBB
Company_42,Energy,33.6,26.5,84.5,2019,5,BBB
Company_42,Energy,28.9,27.0,85.6,2020,5,BBB
Company_42,Energy,29.4,27.8,88.0,2021,5,BBB
Company_42,Energy,28.1,26.8,89.4,2022,5,BBB
Company_42,Energy,31.7,30.3,87.0,2023,5,BBB
Company_42,Energy,32.4,28.1,84.0,2024,5,BBB
Company_42,Energy,35.3,29.0,82.4,2025,5,BBB
Company_43,Transportation,27.5,83.4,20.5,2015,2,BBB
Company_43,Transportation,31.5,80.4,21.7,2016,2,BBB
Company_43,Transportation,34.2,76.7,22.0,2017,2,BBB
Company_43,Transportation,36.2,78.4,21.4,2018,2,BBB
Company_43,Transportation,31.3,78.2,19.8,2019,2,BBB
